"uc_ea","uc","num_ea","bioma","regiao","expedicao","ano","tribo","soma_individuos"
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_2","2022","Coeini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_2","2022","Epicaliini",1
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_2","2022","Epiphilini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_2","2022","Haeterini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_2","2022","Melanitini*",0
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_2","2022","Morphini",6
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_2","2022","Preponini",4
"Esec_de_Maraca_1","Esec_de_Maraca",1,"Amazonia","norte","2022_2","2022","Satyrini",26
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_1","2018","Ageroniini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_1","2018","Anaeini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_1","2018","Biblidini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_1","2018","Brassolini",2
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_1","2018","Callicorini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_1","2018","Coeini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_1","2018","Epicaliini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_1","2018","Epiphilini",1
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_1","2018","Haeterini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_1","2018","Melanitini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_1","2018","Morphini",13
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_1","2018","Preponini",2
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_1","2018","Satyrini",90
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_2","2018","Ageroniini",8
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_2","2018","Anaeini",3
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_2","2018","Biblidini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_2","2018","Brassolini",3
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_2","2018","Callicorini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_2","2018","Coeini",2
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_2","2018","Epicaliini",2
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_2","2018","Epiphilini",2
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_2","2018","Haeterini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_2","2018","Melanitini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_2","2018","Morphini",13
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_2","2018","Preponini",2
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2018_2","2018","Satyrini",164
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_1","2019","Ageroniini",1
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_1","2019","Anaeini",7
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_1","2019","Biblidini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_1","2019","Brassolini",2
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_1","2019","Callicorini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_1","2019","Coeini",4
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_1","2019","Epicaliini",3
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_1","2019","Epiphilini",23
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_1","2019","Haeterini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_1","2019","Melanitini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_1","2019","Morphini",2
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_1","2019","Preponini",1
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_1","2019","Satyrini",60
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_2","2019","Ageroniini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_2","2019","Anaeini",8
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_2","2019","Biblidini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_2","2019","Brassolini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_2","2019","Callicorini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_2","2019","Coeini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_2","2019","Epicaliini",41
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_2","2019","Epiphilini",6
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_2","2019","Haeterini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_2","2019","Melanitini*",0
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_2","2019","Morphini",4
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_2","2019","Preponini",2
"Esec_de_Maraca_2","Esec_de_Maraca",2,"Amazonia","norte","2019_2","2019","Satyrini",78
"Esec_de_Maraca_3","Esec_de_Maraca",3,"Amazonia","norte","2019_1","2019","Ageroniini",6
"Esec_de_Maraca_3","Esec_de_Maraca",3,"Amazonia","norte","2019_1","2019","Anaeini",11
"Esec_de_Maraca_3","Esec_de_Maraca",3,"Amazonia","norte","2019_1","2019","Biblidini*",0
"Esec_de_Maraca_3","Esec_de_Maraca",3,"Amazonia","norte","2019_1","2019","Brassolini",5
"Esec_de_Maraca_3","Esec_de_Maraca",3,"Amazonia","norte","2019_1","2019","Callicorini*",0
"Esec_de_Maraca_3","Esec_de_Maraca",3,"Amazonia","norte","2019_1","2019","Coeini",1
